Date,Profit/Losses,-2315.117647,,
Jan-10,867884,,max,min
Feb-10,984655,116771,1926159,-2196167
Mar-10,322013,-662642,,
Apr-10,-69417,-391430,,
May-10,310503,379920,,
Jun-10,522857,212354,,
Jul-10,1033096,510239,,
Aug-10,604885,-428211,,
Sep-10,-216386,-821271,,
Oct-10,477532,693918,,
Nov-10,893810,416278,,
Dec-10,-80353,-974163,,
Jan-11,779806,860159,,
Feb-11,-335203,-1115009,,
Mar-11,697845,1033048,,
Apr-11,793163,95318,,
May-11,485070,-308093,,
Jun-11,584122,99052,,
Jul-11,62729,-521393,,
Aug-11,668179,605450,,
Sep-11,899906,231727,,
Oct-11,834719,-65187,,
Nov-11,132003,-702716,,
Dec-11,309978,177975,,
Jan-12,-755566,-1065544,,
Feb-12,1170593,1926159,,
Mar-12,252788,-917805,,
Apr-12,1151518,898730,,
May-12,817256,-334262,,
Jun-12,570757,-246499,,
Jul-12,506702,-64055,,
Aug-12,-1022534,-1529236,,
Sep-12,475062,1497596,,
Oct-12,779976,304914,,
Nov-12,144175,-635801,,
Dec-12,542494,398319,,
Jan-13,359333,-183161,,
Feb-13,321469,-37864,,
Mar-13,67780,-253689,,
Apr-13,471435,403655,,
May-13,565603,94168,,
Jun-13,872480,306877,,
Jul-13,789480,-83000,,
Aug-13,999942,210462,,
Sep-13,-1196225,-2196167,,
Oct-13,268997,1465222,,
Nov-13,-687986,-956983,,
Dec-13,1150461,1838447,,
Jan-14,682458,-468003,,
Feb-14,617856,-64602,,
Mar-14,824098,206242,,
Apr-14,581943,-242155,,
May-14,132864,-449079,,
Jun-14,448062,315198,,
Jul-14,689161,241099,,
Aug-14,800701,111540,,
Sep-14,1166643,365942,,
Oct-14,947333,-219310,,
Nov-14,578668,-368665,,
Dec-14,988505,409837,,
Jan-15,1139715,151210,,
Feb-15,1029471,-110244,,
Mar-15,687533,-341938,,
Apr-15,-524626,-1212159,,
May-15,158620,683246,,
Jun-15,87795,-70825,,
Jul-15,423389,335594,,
Aug-15,840723,417334,,
Sep-15,568529,-272194,,
Oct-15,332067,-236462,,
Nov-15,989499,657432,,
Dec-15,778237,-211262,,
Jan-16,650000,-128237,,
Feb-16,-1100387,-1750387,,
Mar-16,-174946,925441,,
Apr-16,757143,932089,,
May-16,445709,-311434,,
Jun-16,712961,267252,,
Jul-16,-1163797,-1876758,,
Aug-16,569899,1733696,,
Sep-16,768450,198551,,
Oct-16,102685,-665765,,
Nov-16,795914,693229,,
Dec-16,60988,-734926,,
Jan-17,138230,77242,,
Feb-17,671099,532869,,
